Date,Germany: Stock Market,Germany: Currency,Germany: Interest Rate,BGF US Growth A2 {USD},prediction
,9038.97,1.3351,0.15,13.06,12.692946
,9009.32,1.3414,0.05,12.96,12.738171
,9180.74,1.3387,0.05,12.96,12.728325
,9180.74,1.3387,0.05,12.96,12.758811
,9180.74,1.3387,0.05,13.13,12.748283
,9069.47,1.3357,0.05,13.12,12.883369
,9198.88,1.338,0.05,13.13,12.847305
,9225.1,1.338,0.05,13.24,12.889871
,9092.6,1.3383,0.05,13.24,12.984464
,9245.33,1.3363,0.05,13.24,12.946178
,9245.33,1.3363,0.05,13.24,12.996286
,9245.33,1.3363,0.05,13.41,12.989236
,9334.28,1.3319,0.05,13.46,13.125886
,9314.57,1.3287,0.05,13.47,13.192939
,9401.53,1.3285,0.05,13.5,13.195503
,9339.17,1.3231,0.05,13.47,13.239277
,9510.14,1.3198,0.05,13.47,13.203733
,9510.14,1.3198,0.05,13.47,13.248121
,9510.14,1.3198,0.05,13.59,13.235919
,9588.15,1.3203,0.05,13.57,13.3301525
,9569.71,1.3203,0.05,13.54,13.329207
,9462.56,1.3175,0.05,13.5,13.299006
,9470.17,1.3172,0.05,13.5,13.243291
,9479.03,1.3137,0.05,13.5,13.247293
,9479.03,1.3137,0.05,13.5,13.255828
,9479.03,1.3137,0.05,13.58,13.2517605
,9507.02,1.3122,0.05,13.63,13.317168
,9626.49,1.3137,0.05,13.65,13.36633
,9724.26,1.2966,0.05,13.63,13.408633
,9747.02,1.2958,0.05,13.52,13.441583
,9758.03,1.2948,0.05,13.52,13.332756
,9758.03,1.2948,0.05,13.52,13.333523
,9758.03,1.2948,0.05,13.6,13.326473
,9710.7,1.2914,0.05,13.58,13.389995
,9700.17,1.2916,0.05,13.5,13.364669
,9691.28,1.2941,0.05,13.63,13.296485
,9651.13,1.2938,0.05,13.61,13.399517
,9659.63,1.2938,0.05,13.61,13.372643
,9659.63,1.2938,0.05,13.61,13.37996
,9659.63,1.2938,0.05,13.5,13.380748
,9632.93,1.2942,0.05,13.46,13.290966
,9661.5,1.2959,0.05,13.59,13.253425
,9798.13,1.2922,0.05,13.65,13.364235
,9799.26,1.284,0.05,13.72,13.451229
,9749.54,1.28,0.05,13.72,13.512794
,9749.54,1.28,0.05,13.72,13.495183
,9749.54,1.2823,0.05,13.57,13.493323
,9595.03,1.2863,0.05,13.49,13.366847
,9661.97,1.2799,0.05,13.46,13.261266
,9510.01,1.2747,0.05,13.51,13.275426
,9490.55,1.2696,0.05,13.45,13.278221
,9422.91,1.26,0.05,13.45,13.232395
,9422.91,1.26,0.05,13.45,13.233289
,9422.91,1.2686,0.05,13.44,13.2254925
,9474.3,1.2632,0.05,13.48,13.20299
,9382.03,1.2595,0.05,13.36,13.268004
,9195.68,1.2653,0.05,13.25,13.1442995
,9195.68,1.2511,0.05,13.4,13.00327
,9209.51,1.25,0.05,13.4,13.170044
,9209.51,1.25,0.05,13.4,13.154087
,9209.51,1.2569,0.05,13.48,13.157058
,9086.21,1.2629,0.05,13.27,13.209035
,8995.33,1.2686,0.05,13.15,13.002983
,9005.02,1.2712,0.05,13.32,12.896182
,8788.81,1.2626,0.05,13.15,13.044632
,8812.43,1.26,0.05,13.15,12.866855
,8812.43,1.26,0.05,13.15,12.8914585
,8812.43,1.268,0.05,12.78,12.887472
,8825.21,1.2667,0.05,12.53,12.574528
,8571.95,1.2759,0.05,12.48,12.410629
,8582.9,1.278,0.05,12.46,12.290554
,8850.27,1.2767,0.05,12.82,12.294013
,8717.76,1.27,0.05,12.82,12.65141
,8717.76,1.27,0.05,12.82,12.594343
,8717.76,1.278,0.05,12.86,12.602616
,8886.96,1.2729,0.05,13.12,12.619668
,8940.14,1.2666,0.05,13.33,12.887813
,9047.31,1.2648,0.05,13.34,13.056696
,8987.8,1.2668,0.05,13.43,13.082386
,8902.61,1.26,0.05,13.43,13.1333275
,8902.61,1.26,0.05,13.43,13.126071
,8902.61,1.2711,0.05,13.51,13.12538
,9068.19,1.2747,0.05,13.65,13.171428
,9082.81,1.2761,0.05,13.62,13.330478
,9114.84,1.2621,0.05,13.64,13.304075
,9326.87,1.2529,0.05,13.95,13.355602
,9251.7,1.25,0.05,13.95,13.655294
,9251.7,1.25,0.05,13.95,13.617214
,9251.7,1.2484,0.05,13.98,13.617509
,9166.47,1.2571,0.05,13.85,13.645197
,9315.48,1.2488,0.05,13.87,13.50265
,9377.41,1.2436,0.05,13.86,13.584876
,9291.83,1.2414,0.05,13.92,13.583915
,9351.87,1.24,0.05,13.92,13.602988
,9351.87,1.24,0.05,13.92,13.617093
,9351.87,1.2443,0.05,13.96,13.614518
,9369.03,1.2426,0.05,13.98,13.638273
,9210.96,1.2477,0.05,14.03,13.6652565
,9248.51,1.2474,0.05,14.16,13.656591
,9252.94,1.2479,0.05,14.06,13.783385
,9306.35,1.25,0.05,14.06,13.7074375
,9306.35,1.25,0.05,14.06,13.722222
,9306.35,1.2456,0.05,14.14,13.721507
,9456.53,1.2531,0.05,14.13,13.791527
,9472.8,1.254,0.05,14.05,13.804032
,9483.97,1.254,0.05,14.06,13.744689
,9732.55,1.2413,0.05,14.21,13.752247
,9785.54,1.23,0.05,14.21,13.951247
,9785.54,1.23,0.05,14.21,13.955837
,9785.54,1.2436,0.05,14.2,13.93728
,9886.33,1.2485,0.05,14.28,13.904119
,9915.56,1.2528,0.05,14.29,13.998469
,9974.87,1.2481,0.05,14.32,14.008931
,9980.85,1.2466,0.05,14.33,14.057785
,9963.51,1.2476,0.05,14.33,14.062345
,9963.51,1.2476,0.05,14.33,14.053502
,9963.51,1.2476,0.05,14.17,14.054344
,9934.08,1.2402,0.05,14.16,13.923871
,9971.79,1.2321,0.05,14.2,13.918317
,9851.35,1.2437,0.05,14.24,13.962268
,10087.12,1.2297,0.05,14.25,13.937209
,10014.99,1.2291,0.05,14.25,14.039871
,10014.99,1.2291,0.05,14.25,14.003102
,10014.99,1.2291,0.05,14.21,14.000063
,9793.71,1.2423,0.05,13.88,13.966954
,9799.73,1.2416,0.05,14.04,13.622432
,9862.53,1.2382,0.05,14.02,13.779863
,9594.73,1.2462,0.05,13.94,13.780302
,9334.01,1.2422,0.05,13.94,13.634739
,9334.01,1.2422,0.05,13.94,13.597193
,9334.01,1.2422,0.05,13.87,13.609386
,9563.89,1.2509,0.05,13.67,13.561708
,9544.43,1.2394,0.05,13.65,13.445849
,9811.06,1.2279,0.05,14.08,13.446388
,9786.96,1.2263,0.05,14.25,13.857428
,9865.76,1.2257,0.05,14.25,13.958314
,9865.76,1.2257,0.05,14.25,13.978768
,9865.76,1.2257,0.05,14.32,13.97812
,9922.11,1.2176,0.05,14.28,14.033153
,9922.11,1.2189,0.05,14.28,14.026077
,9922.11,1.2189,0.05,14.28,14.015149
,9922.11,1.217,0.05,14.28,14.013585
,9927.13,1.218,0.05,14.28,14.015144
,9927.13,1.218,0.05,14.28,14.012639
,9927.13,1.218,0.05,14.35,14.012998
,9805.55,1.2164,0.05,14.31,14.069198
,9805.55,1.21,0.05,14.32,14.009658
,9805.55,1.203,0.05,14.32,14.0314
,9764.73,1.203,0.05,14.22,14.038026
,9473.16,1.1937,0.05,14.22,13.941653
,9473.16,1.1937,0.05,14.22,13.886549
,9473.16,1.1937,0.05,14.02,13.886774
,9469.66,1.1919,0.05,13.88,13.733366
,9518.18,1.1803,0.05,13.85,13.626904
,9837.61,1.1792,0.05,14.02,13.63021
,9648.5,1.1834,0.05,14.1,13.825052
,9781.9,1.1818,0.05,14.1,13.814927
,9781.9,1.1818,0.05,14.1,13.854787
,9781.9,1.1818,0.05,13.92,13.851826
,9941.0,1.1781,0.05,14.13,13.705097
,9817.08,1.1787,0.05,13.81,13.918536
,10032.61,1.1587,0.05,13.76,13.612922
,10167.77,1.1497,0.05,13.63,13.666847
,10242.35,1.1631,0.05,13.63,13.572384
,10242.35,1.1631,0.05,13.63,13.550433
,10242.35,1.1631,0.05,13.82,13.549052
,10257.13,1.1572,0.05,13.8,13.696572
,10299.23,1.1586,0.05,14.01,13.6858425
,10435.62,1.1416,0.05,14.02,13.860087
,10649.58,1.1249,0.05,14.28,13.917666
,10798.33,1.1256,0.05,14.28,14.176985
,10798.33,1.1256,0.05,14.28,14.184674
,10798.33,1.1256,0.05,14.25,14.177684
,10628.58,1.14,0.05,14.17,14.148759
,10710.97,1.1341,0.05,14.22,14.027728
,10737.87,1.1338,0.05,13.85,14.109218
,10694.32,1.1284,0.05,14.01,13.815274
,10828.01,1.1343,0.05,14.01,13.94199
,10828.01,1.1343,0.05,14.01,13.952333
,10828.01,1.1343,0.05,13.77,13.953829
,10890.95,1.1448,0.05,14.05,13.761855
,10911.32,1.1424,0.05,14.09,13.989964
,10905.41,1.143,0.05,14.12,14.025375
,10846.39,1.1344,0.05,14.17,14.049658
,10663.51,1.1335,0.05,14.17,14.0859165
,10663.51,1.1335,0.05,14.17,14.040715
,10663.51,1.1335,0.05,14.09,14.048409
,10753.83,1.1324,0.05,14.1,13.988558
,10752.11,1.1304,0.05,14.24,14.021081
,10919.65,1.1372,0.05,14.34,14.128185
,10963.4,1.1402,0.05,14.49,14.236949
,10923.23,1.1404,0.05,14.49,14.365736
,10923.23,1.1404,0.05,14.49,14.359142
,10923.23,1.1404,0.05,14.57,14.363089
,10895.62,1.1399,0.05,14.57,14.428173
,10961.0,1.1361,0.05,14.58,14.424494
,11001.94,1.139,0.05,14.65,14.4538965
,11050.64,1.1368,0.05,14.65,14.513607
,11130.92,1.1354,0.05,14.65,14.528464
,11130.92,1.1354,0.05,14.65,14.546245
,11130.92,1.1354,0.05,14.86,14.5415745
,11205.74,1.1337,0.05,14.78,14.704589
,11210.27,1.1357,0.05,14.82,14.667482
,11327.19,1.1213,0.05,14.84,14.696869
,11401.66,1.1216,0.05,14.86,14.7493305
,11410.36,1.1195,0.05,14.86,14.772175
,11410.36,1.1195,0.05,14.86,14.77062
,11410.36,1.1195,0.05,14.85,14.766483
,11280.36,1.1184,0.05,14.81,14.757048
,11390.38,1.1068,0.05,14.71,14.694466
,11504.01,1.1029,0.05,14.8,14.648333
,11550.97,1.0861,0.05,14.79,14.735086
,11582.11,1.0846,0.05,14.79,14.737939
,11582.11,1.0846,0.05,14.79,14.732038
,11582.11,1.0846,0.05,14.59,14.726333
,11500.38,1.0707,0.05,14.48,14.567992
,11805.99,1.0575,0.05,14.42,14.461777
,11799.39,1.0616,0.05,14.54,14.474539
,11901.61,1.0521,0.05,14.49,14.541085
,12167.72,1.0578,0.05,14.49,14.524163
,12167.72,1.0578,0.05,14.49,14.572921
,12167.72,1.0578,0.05,14.7,14.563734
,11980.85,1.0604,0.05,14.74,14.71648
,11922.77,1.0643,0.05,14.76,14.712096
,11899.4,1.0623,0.05,14.94,14.725742
,12039.37,1.0794,0.05,15.04,14.867877
,11895.84,1.0926,0.05,15.04,14.989404
,11895.84,1.0926,0.05,15.04,14.973002
,11895.84,1.0926,0.05,15.01,14.985036
,12005.69,1.0906,0.05,15.01,14.966866
,11865.32,1.0987,0.05,14.82,14.992569
,11843.68,1.0918,0.05,14.56,14.808287
,11868.33,1.089,0.05,14.62,14.596282
,12086.01,1.083,0.05,14.62,14.634838
,12086.01,1.083,0.05,14.62,14.681682
,12086.01,1.083,0.05,14.77,14.67112
,11966.17,1.074,0.05,14.73,14.780688
,12001.38,1.0758,0.05,14.46,14.727477
,11967.39,1.0882,0.05,14.63,14.526951
,11967.39,1.0882,0.05,14.63,14.638799
,11967.39,1.1033,0.05,14.63,14.647461
,11967.39,1.1033,0.05,14.63,14.648693
,11967.39,1.1033,0.05,14.63,14.657118
,12123.52,1.0859999999999999,0.05,14.76,14.658781
,12035.86,1.0791,0.05,14.86,14.798529
,12166.44,1.0678,0.05,14.95,14.848065
,12374.73,1.0626,0.05,15.02,14.9479065
,12338.73,1.0572,0.05,15.02,15.045524
,12338.73,1.0572,0.05,15.02,15.030679
,12338.73,1.0572,0.05,15.16,15.025617
,12227.6,1.0694,0.05,14.96,15.129961
,12231.34,1.0609,0.05,15.04,14.967025
,11998.86,1.0699,0.05,15.2,15.0242
,11688.7,1.0774,0.05,14.95,15.097807
,11891.91,1.0754,0.05,14.95,14.859648
,11891.91,1.0754,0.05,14.95,14.910246
,11891.91,1.0754,0.05,15.03,14.909372
,11939.58,1.0741,0.05,15.22,14.968558
,11867.37,1.0724,0.05,15.15,15.127777
,11723.58,1.0801,0.05,15.19,15.070873
,11810.85,1.0865,0.05,15.29,15.069676
,12039.16,1.0883,0.05,15.29,15.176543
,12039.16,1.0883,0.05,15.29,15.2424555
,12039.16,1.0883,0.05,15.37,15.240483
,11811.66,1.0981,0.05,15.08,15.297226
,11432.72,1.115,0.05,15.07,15.026932
,11454.38,1.1205,0.05,14.93,14.9174185
,11454.38,1.1222,0.05,14.93,14.826132
,11619.85,1.1161,0.05,14.93,14.830029
,11619.85,1.1161,0.05,14.93,14.873636
,11619.85,1.1161,0.05,14.95,14.866773
,11327.68,1.1187,0.05,14.84,14.878306
,11350.15,1.1354,0.05,14.69,14.721399
,11407.97,1.1261,0.05,14.69,14.602041
,11709.73,1.1218,0.05,14.95,14.628523
,11673.35,1.1151,0.05,14.95,14.899731
,11673.35,1.1151,0.05,14.95,14.892477
,11673.35,1.1151,0.05,15.0,14.88782
,11472.41,1.1246,0.05,14.8,14.925726
,11351.46,1.1352,0.05,14.92,14.719807
,11559.82,1.138,0.05,14.92,14.780783
,11447.03,1.1441,0.05,15.06,14.846591
,11594.28,1.1364,0.05,15.06,14.929467
,11594.28,1.1364,0.05,15.06,14.980506
,11594.28,1.1364,0.05,15.07,14.978476
,11853.33,1.1127,0.05,15.18,14.984267
,11848.47,1.1102,0.05,15.05,15.136903
,11864.59,1.1121,0.05,15.13,15.025067
,11815.01,1.1023,0.05,15.21,15.076005
,11815.01,1.1023,0.05,15.21,15.12693
,11815.01,1.1023,0.05,15.21,15.129375
,11815.01,1.1023,0.05,15.21,15.131462
,11625.13,1.0897,0.05,15.12,15.132417
,11771.13,1.0875,0.05,15.11,15.020693
,11677.57,1.0918,0.05,15.1,15.039781
,11413.82,1.0963,0.05,15.09,15.006707
,11436.05,1.0897,0.05,15.09,14.939127
,11436.05,1.0897,0.05,15.09,14.954854
,11436.05,1.0897,0.05,15.08,14.957857
,11328.8,1.1128,0.05,15.1,14.951925
,11419.62,1.1265,0.05,15.18,14.934961
,11340.6,1.1282,0.05,15.2,15.028649
,11197.15,1.1109,0.05,15.07,15.039184
,11064.92,1.1204,0.05,15.07,14.917873
,11064.92,1.1204,0.05,15.07,14.872924
,11064.92,1.1204,0.05,15.08,14.881573
,11001.29,1.1244,0.05,14.93,14.894032
,11265.39,1.1302,0.05,15.08,14.761695
,11332.78,1.1234,0.05,15.25,14.935911
,11196.49,1.1268,0.05,15.15,15.090041
,10984.97,1.1253,0.05,15.15,14.981601
,10984.97,1.1253,0.05,15.15,14.931306
,10984.97,1.1253,0.05,14.97,14.936569
,11044.01,1.1234,0.05,15.1,14.801552
,10978.01,1.1233,0.05,15.17,14.911381
,11100.3,1.1403,0.05,15.27,14.9517565
,11040.1,1.1329,0.05,15.33,15.055342
,11460.5,1.1396,0.05,15.33,15.106576
,11460.5,1.1396,0.05,15.33,15.211418
,11460.5,1.1396,0.05,15.4,15.207722
,11542.54,1.1183,0.05,15.4,15.253201
,11471.26,1.1184,0.05,15.46,15.277584
,11473.13,1.1192,0.05,15.32,15.296183
,11492.43,1.114,0.05,15.33,15.1911745
,11120.0,1.115,0.05,15.33,15.19639
,11120.0,1.115,0.05,15.33,15.105023
,11120.0,1.115,0.05,15.09,15.111136
,10944.97,1.1142,0.05,14.92,14.933427
,11180.5,1.1102,0.05,15.1,14.750022
,11099.35,1.1104,0.05,15.03,14.938024
,11058.39,1.11,0.05,15.04,14.864841
,10890.63,1.1,0.05,15.04,14.859297
,10890.63,1.1074,0.05,15.04,14.828226
,10890.63,1.1074,0.05,14.97,14.822453
,10676.78,1.0935,0.05,14.88,14.775787
,10747.3,1.1075,0.05,14.81,14.667951
,10996.41,1.107,0.05,14.92,14.609205
,11315.63,1.1157,0.05,14.96,14.757359
,11484.38,1.1007,0.05,14.96,14.85381
,11484.38,1.1007,0.05,14.96,14.893737
,11484.38,1.1007,0.05,15.21,14.873675
,11516.9,1.1013,0.05,15.27,15.057899
,11539.66,1.0959,0.05,15.4,15.123532
,11716.76,1.088,0.05,15.46,15.237077
,11673.42,1.083,0.05,15.69,15.332582
,11735.72,1.0827,0.05,15.69,15.495759
,11735.72,1.0827,0.05,15.69,15.526933
,11735.72,1.0827,0.05,15.75,15.531595
,11604.8,1.094,0.05,15.8,15.577756
,11520.67,1.0927,0.05,15.73,15.594401
,11512.11,1.0988,0.05,15.7,15.53532
,11347.45,1.0974,0.05,15.67,15.512021
,11056.4,1.1089,0.05,15.67,15.453937
,11056.4,1.1089,0.05,15.67,15.385787
,11056.4,1.1089,0.05,15.4,15.398255
,11173.91,1.1063,0.05,15.35,15.20213
,11211.85,1.0986,0.05,15.49,15.176735
,11257.15,1.0935,0.05,15.38,15.282605
,11308.99,1.1048,0.05,15.52,15.210152
,11443.72,1.0972,0.05,15.52,15.313421
,11443.72,1.0972,0.05,15.52,15.355619
,11443.72,1.0972,0.05,15.6,15.350839
,11456.07,1.0959999999999999,0.05,15.5,15.407764
,11636.3,1.0866,0.05,15.63,15.339857
,11585.1,1.0913,0.05,15.5,15.471473
,11490.83,1.0969,0.05,15.29,15.363152
,11604.78,1.1018,0.05,15.29,15.169626
,11604.78,1.1018,0.05,15.29,15.180868
,11604.78,1.1018,0.05,15.42,15.176535
,11293.65,1.1043,0.05,15.35,15.271847
,10924.61,1.1163,0.05,15.12,15.154333
,11014.63,1.1152,0.05,15.24,14.890319
,10985.14,1.1111,0.05,15.33,15.010588
,10940.33,1.1077,0.05,15.33,15.087297
,10940.33,1.1077,0.05,15.33,15.087174
,10940.33,1.1077,0.05,15.32,15.09089
,10915.92,1.1026,0.05,15.48,15.086197
,10682.15,1.1116,0.05,15.33,15.205452
,10432.19,1.1232,0.05,15.19,15.041962
,10124.52,1.1388,0.05,14.74,14.8705845
,9648.43,1.1598,0.05,14.74,14.441134
,9648.43,1.1598,0.05,14.74,14.309114
,9648.43,1.1598,0.05,13.71,14.34084
,10128.12,1.1533,0.05,14.18,13.540042
,9997.43,1.1324,0.05,14.06,14.047294
,10315.62,1.1242,0.05,14.54,13.894517
,10298.53,1.1179999999999999,0.05,14.7,14.33472
,10259.46,1.1216,0.05,14.7,14.442544
,10259.46,1.1216,0.05,14.7,14.429806
,10259.46,1.1216,0.05,14.59,14.436854
,10015.57,1.1298,0.05,14.24,14.353265
,10048.05,1.1219,0.05,14.15,14.009528
,10317.84,1.1121,0.05,14.39,13.965697
,10038.04,1.1147,0.05,14.11,14.21659
,10108.61,1.1172,0.05,14.11,13.9086485
,10108.61,1.1172,0.05,14.11,13.9296
,10108.61,1.1172,0.05,14.11,13.925953
,10271.36,1.1208,0.05,14.33,13.924348
,10303.12,1.1216,0.05,14.52,14.129101
,10210.44,1.1293,0.05,14.25,14.282037
,10123.56,1.1335,0.05,14.25,14.042274
,10131.74,1.1313,0.05,14.25,14.029377
,10131.74,1.1313,0.05,14.25,14.038621
,10131.74,1.1313,0.05,14.33,14.038829
,10188.13,1.1271,0.05,14.32,14.102788
,10227.21,1.1292,0.05,14.5,14.113783
,10229.58,1.1422,0.05,14.62,14.25841
,9916.16,1.1308,0.05,14.54,14.3390465
,9948.51,1.1187,0.05,14.54,14.234689
,9948.51,1.1187,0.05,14.54,14.262356
,9948.51,1.1187,0.05,14.6,14.258389
,9570.66,1.113,0.05,14.27,14.30543
,9612.62,1.1187,0.05,14.24,13.974369
,9427.64,1.1164,0.05,14.08,13.956059
,9688.53,1.1194,0.05,14.31,13.798091
,9483.55,1.1194,0.05,14.31,14.034866
,9483.55,1.1237,0.05,14.31,13.982126
,9483.55,1.1237,0.05,13.84,13.98252
,9450.4,1.1256,0.05,13.58,13.622969
,9660.44,1.117,0.05,13.7,13.413693
,9509.25,1.1194,0.05,13.74,13.568527
,9553.07,1.121,0.05,13.75,13.529081
,9814.79,1.1188,0.05,13.75,13.547975
,9814.79,1.1188,0.05,13.75,13.610639
,9814.79,1.1188,0.05,14.26,13.5962305
,9902.83,1.1272,0.05,14.29,13.990992
,9970.4,1.1237,0.05,14.22,14.01526
,9993.07,1.1276,0.05,14.18,13.997793
,10096.6,1.1358,0.05,14.34,13.964228
,10119.83,1.1358,0.05,14.34,14.103388
,10119.83,1.1358,0.05,14.34,14.110823
,10119.83,1.1358,0.05,14.36,14.112297
,10032.82,1.1379,0.05,14.42,14.128345
,9915.85,1.1474,0.05,14.45,14.153219
,10064.8,1.1386,0.05,14.38,14.1428795
,10104.43,1.1348,0.05,14.57,14.150625
,10164.31,1.1327,0.05,14.57,14.307098
,10164.31,1.1327,0.05,14.57,14.318374
,10164.31,1.1327,0.05,14.63,14.316705
,10147.68,1.1346,0.05,14.64,14.362507
,10238.1,1.1339,0.05,14.56,14.364973
,10491.97,1.1109,0.05,14.48,14.327353
,10794.54,1.1018,0.05,14.76,14.345292
,10801.34,1.1058,0.05,14.76,14.608946
,10801.34,1.1058,0.05,14.76,14.587472
,10801.34,1.1058,0.05,14.78,14.583004
,10692.19,1.1051,0.05,14.77,14.595713
,10831.96,1.0923,0.05,14.85,14.563524
,10800.84,1.0977,0.05,14.96,14.669462
,10850.14,1.1006,0.05,15.01,14.737208
,10950.67,1.1016,0.05,15.01,14.791965
,10950.67,1.1016,0.05,15.01,14.820301
,10950.67,1.1016,0.05,15.02,14.820266
,10951.15,1.0964,0.05,15.09,14.826446
,10845.24,1.0866,0.05,15.17,14.8837385
,10887.74,1.0884,0.05,15.29,14.92851
,10988.03,1.0741,0.05,15.12,15.030848
,10815.45,1.0752,0.05,15.12,14.942409
,10815.45,1.0752,0.05,15.12,14.889249
,10815.45,1.0752,0.05,15.1,14.887242
,10832.52,1.0724,0.05,15.02,14.8737545
,10907.87,1.0743,0.05,15.14,14.81775
,10782.63,1.0814,0.05,15.04,14.91769
,10708.4,1.0773,0.05,14.83,14.812903
,10713.23,1.0686,0.05,14.83,14.639543
,10713.23,1.0686,0.05,14.83,14.638656
,10713.23,1.0686,0.05,14.63,14.629277
,10971.04,1.0642,0.05,14.86,14.47143
,10959.95,1.0659999999999998,0.05,14.95,14.697699
,11085.44,1.0734,0.05,15.2,14.756939
,11119.83,1.0646,0.05,15.24,14.972963
,11092.31,1.0636,0.05,15.24,15.031505
,11092.31,1.0636,0.05,15.24,15.028608
,11092.31,1.0636,0.05,15.27,15.030389
,10933.99,1.0643,0.05,15.16,15.054595
,11169.54,1.0624,0.05,15.28,14.9403715
,11320.77,1.061,0.05,15.26,15.079713
,11293.76,1.0593,0.05,15.26,15.1
,11382.23,1.0565,0.05,15.26,15.087158
,11382.23,1.0565,0.05,15.26,15.100921
,11382.23,1.0565,0.05,15.21,15.095729
,11261.24,1.0633,0.05,15.28,15.054647
,11190.02,1.0615,0.05,15.38,15.075997
,10789.24,1.094,0.05,15.22,15.145621
,10752.1,1.0881,0.05,15.12,14.935537
,10886.09,1.088,0.05,15.12,14.873496
,10886.09,1.088,0.05,15.12,14.906584
,10886.09,1.0837,0.05,15.19,14.906131
,10673.6,1.0892,0.05,15.04,14.96008
,10592.49,1.1025,0.05,15.14,14.795859
,10598.93,1.0941,0.05,14.96,14.844128
,10340.06,1.0986,0.05,14.78,14.7310915
,10139.34,1.0992,0.05,14.78,14.523921
,10139.34,1.0992,0.05,14.78,14.478291
,10139.34,1.0992,0.05,14.64,14.484873
,10450.38,1.0931,0.05,14.92,14.382474
,10469.26,1.0912,0.05,14.96,14.671605
,10738.12,1.0826,0.05,15.12,14.703241
,10608.19,1.0868,0.05,14.86,14.889426
,10497.77,1.0915,0.05,14.86,14.654454
,10497.77,1.0915,0.05,14.86,14.615185
,10497.77,1.0915,0.05,14.74,14.616304
,10488.75,1.0957,0.05,14.77,14.524569
,10727.64,1.0912,0.05,14.9,14.537783
,10727.64,1.0963,0.05,14.9,14.696158
,10727.64,1.0959999999999999,0.05,14.9,14.688409
,10653.91,1.0968,0.05,14.9,14.688908
,10653.91,1.0968,0.05,14.9,14.671115
,10653.91,1.0968,0.05,14.91,14.672984
,10860.14,1.092,0.05,15.07,14.682458
,10743.01,1.0933,0.05,15.06,14.856272
,10743.01,1.0862,0.05,14.97,14.822561
,10743.01,1.0856,0.05,14.97,14.760095
,10283.44,1.0831,0.05,14.97,14.754275
,10283.44,1.0831,0.05,14.97,14.65513
,10283.44,1.0831,0.05,14.52,14.661523
,10310.1,1.0748,0.05,14.54,14.325035
,10214.02,1.0781,0.05,14.37,14.3461895
,9979.85,1.0932,0.05,14.18,14.1729555
,9849.34,1.0922,0.05,14.13,13.951732
,9825.07,1.0859,0.05,14.13,13.900995
,9825.07,1.0859,0.05,14.13,13.909119
,9825.07,1.0859,0.05,13.8,13.906525
,9985.43,1.0858,0.05,14.01,13.647239
,9960.96,1.0877,0.05,13.94,13.851983
,9794.2,1.0865,0.05,13.32,13.7687235
,9545.27,1.0916,0.05,13.39,13.251257
,9521.85,1.0892,0.05,13.39,13.271599
,9521.85,1.0892,0.05,13.39,13.266312
,9521.85,1.0892,0.05,13.39,13.269617
,9664.21,1.0908,0.05,13.5,13.270929
,9391.64,1.0876,0.05,13.1,13.386035
,9574.16,1.0858,0.05,13.28,13.009184
,9764.88,1.0798,0.05,13.66,13.229581
,9736.15,1.0852,0.05,13.66,13.539456
,9736.15,1.0852,0.05,13.66,13.497961
,9736.15,1.0852,0.05,13.64,13.512161
,9822.75,1.0861,0.05,13.45,13.497288
,9880.82,1.0904,0.05,13.49,13.367562
,9639.59,1.0935,0.05,13.41,13.409374
,9798.11,1.0834,0.05,13.49,13.280869
,9757.88,1.089,0.05,13.49,13.4133005
,9757.88,1.089,0.05,13.49,13.373615
,9757.88,1.089,0.05,13.61,13.382305
,9581.04,1.0919,0.05,13.58,13.475795
,9434.82,1.1049,0.05,13.34,13.404985
,9393.36,1.1198,0.05,13.27,13.179151
,9286.23,1.1159,0.05,13.09,13.124568
,8979.36,1.1188,0.05,13.09,12.985098
,8979.36,1.1188,0.05,13.09,12.9252
,8979.36,1.1188,0.05,12.55,12.943513
,8879.4,1.1288,0.05,12.6,12.531664
,9017.29,1.128,0.05,12.79,12.572549
,8752.87,1.1314,0.05,12.59,12.744359
,8967.51,1.125,0.05,12.62,12.49857
,9206.84,1.1169,0.05,12.62,12.633972
,9206.84,1.1169,0.05,12.62,12.673537
,9206.84,1.1169,0.05,12.78,12.650731
,9135.11,1.1143,0.05,12.94,12.767666
,9377.21,1.1121,0.05,13.15,12.861931
,9463.64,1.1108,0.05,13.27,13.079354
,9388.05,1.113,0.05,13.06,13.168786
,9573.59,1.1026,0.05,13.06,12.976055
,9573.59,1.1026,0.05,13.06,13.060541
,9573.59,1.1026,0.05,13.33,13.0305195
,9416.77,1.1024,0.05,13.34,13.236907
,9167.8,1.1013,0.05,13.02,13.191308
,9331.48,1.1023,0.05,13.24,12.904573
,9513.3,1.0936,0.05,13.48,13.147593
,9495.4,1.0885,0.05,13.48,13.35922
,9495.4,1.0885,0.05,13.48,13.34042
,9495.4,1.0885,0.05,13.46,13.340712
,9717.16,1.0875,0.0,13.43,13.323816
,9776.62,1.0869,0.0,13.63,13.40025
,9751.92,1.0945,0.0,13.63,13.5428505
,9824.17,1.101,0.0,13.62,13.512269
,9778.93,1.0991,0.0,13.62,13.520915
,9778.93,1.0991,0.0,13.62,13.51842
,9778.93,1.1012,0.0,13.54,13.518867
,9692.82,1.1,0.0,13.49,13.454242
,9723.09,1.0985,0.0,13.41,13.404345
,9498.15,1.1176,0.0,13.59,13.354186
