Date,Germany: Stock Market,Germany: Currency,Germany: Interest Rate,BGF US Growth A2 {USD},prediction
,8472.2,1.2872,0.5,11.19,10.962434
,8530.89,1.2876,0.5,11.21,11.018346
,8351.98,1.2902,0.5,10.93,11.044407
,8305.32,1.2930000000000001,0.5,10.92,10.798375
,8383.3,1.2939,0.5,10.92,10.809614
,8383.3,1.2939,0.5,10.92,10.820935
,8383.3,1.2939,0.5,11.01,10.815773
,8480.87,1.2855,0.5,11.18,10.874104
,8336.58,1.2967,0.5,11.04,11.025644
,8400.2,1.3054,0.5,11.08,10.845275
,8348.84,1.296,0.5,11.01,10.919965
,8285.8,1.3029,0.5,11.01,10.860067
,8285.8,1.3029,0.5,11.01,10.834635
,8285.8,1.3029,0.5,10.87,10.841619
,8295.96,1.3071,0.5,10.93,10.748693
,8196.18,1.3086,0.5,10.78,10.7926655
,8098.81,1.3194,0.5,10.66,10.6548395
,8254.68,1.3219999999999998,0.5,10.83,10.553377
,8307.69,1.3194,0.5,10.83,10.717705
,8307.69,1.3194,0.5,10.83,10.708583
,8307.69,1.3194,0.5,10.9,10.713352
,8222.46,1.3274,0.5,10.81,10.756752
,8143.27,1.3336,0.5,10.84,10.655359
,8095.39,1.3299,0.5,10.69,10.662993
,8127.96,1.334,0.5,10.87,10.560796
,8215.73,1.3347,0.5,10.87,10.689852
,8215.73,1.3347,0.5,10.87,10.697012
,8215.73,1.3347,0.5,10.89,10.700272
,8229.51,1.3392,0.5,10.92,10.713321
,8197.08,1.3404,0.5,10.96,10.729202
,7928.48,1.3175,0.5,10.73,10.746096
,7789.24,1.3136,0.5,10.6,10.552996
,7692.45,1.3094,0.5,10.6,10.454589
,7692.45,1.3094,0.5,10.6,10.436909
,7692.45,1.3094,0.5,10.35,10.435144
,7811.3,1.3074,0.5,10.48,10.285463
,7940.99,1.3002,0.5,10.62,10.41633
,7990.75,1.3003,0.5,10.74,10.520384
,7959.22,1.2998,0.5,10.67,10.5940275
,7983.92,1.3035,0.5,10.67,10.538898
,7983.92,1.3035,0.5,10.67,10.553046
,7983.92,1.3035,0.5,10.83,10.550236
,7910.77,1.3034,0.5,10.83,10.652289
,7829.32,1.2972,0.5,10.78,10.620263
,7994.31,1.2913,0.5,10.82,10.590203
,7806.0,1.2834,0.5,10.89,10.679115
,7968.54,1.2864,0.5,10.89,10.658981
,7968.54,1.2864,0.5,10.89,10.715184
,7968.54,1.2864,0.5,11.02,10.702905
,8057.75,1.2786,0.5,11.01,10.793086
,8066.48,1.2857,0.5,11.07,10.817764
,8158.8,1.3041,0.5,11.18,10.841468
,8212.77,1.3053,0.5,11.25,10.914212
,8234.81,1.3047,0.5,11.25,10.979997
,8234.81,1.3047,0.5,11.25,10.985334
,8234.81,1.3047,0.5,11.29,10.988168
,8201.05,1.3137,0.5,11.25,11.016305
,8254.72,1.3093,0.5,11.24,10.960775
,8337.09,1.3091,0.5,11.27,10.993433
,8331.57,1.3139,0.5,11.25,11.027299
,8331.06,1.3193,0.5,11.25,10.997285
,8331.06,1.3193,0.5,11.25,10.996641
,8331.06,1.3193,0.5,11.24,10.999071
,8314.23,1.3218,0.5,11.29,10.991668
,8379.11,1.3236,0.5,11.27,11.018206
,8298.98,1.3235,0.5,11.25,11.020664
,8244.91,1.3264,0.5,11.2,10.982571
,8259.03,1.3253,0.5,11.2,10.9337225
,8259.03,1.3253,0.5,11.2,10.947178
,8259.03,1.3253,0.5,11.21,10.941321
,8271.02,1.3251,0.5,11.19,10.949035
,8275.97,1.3278,0.5,11.27,10.937684
,8410.73,1.3233,0.5,11.37,10.991553
,8406.94,1.3283,0.5,11.42,11.106016
,8398.38,1.324,0.5,11.42,11.116484
,8398.38,1.324,0.5,11.42,11.1306
,8398.38,1.324,0.5,11.46,11.127857
,8299.73,1.3309,0.5,11.42,11.158382
,8260.48,1.3319,0.5,11.33,11.087086
,8318.32,1.3385,0.5,11.38,11.028591
,8338.31,1.3351,0.5,11.42,11.077252
,8359.25,1.3293,0.5,11.42,11.112171
,8359.25,1.3293,0.5,11.42,11.122532
,8359.25,1.3293,0.5,11.37,11.117496
,8415.76,1.3236,0.5,11.39,11.082045
,8438.12,1.3266,0.5,11.38,11.124642
,8376.29,1.3251,0.5,11.38,11.105866
,8391.94,1.3333,0.5,11.15,11.094109
,8366.29,1.335,0.5,11.15,10.926575
,8366.29,1.335,0.5,11.15,10.937012
,8366.29,1.335,0.5,11.13,10.927094
,8300.03,1.3426,0.5,11.07,10.913543
,8285.41,1.3377,0.5,11.1,10.841046
,8397.89,1.3345,0.5,11.14,10.878508
,8416.99,1.3403,0.5,11.2,10.933794
,8435.15,1.3374,0.5,11.2,10.961461
,8435.15,1.3374,0.5,11.2,10.975077
,8435.15,1.3374,0.5,11.22,10.972608
,8242.56,1.3393,0.5,11.07,10.987464
,8157.9,1.334,0.5,10.97,10.8212
,8194.55,1.3224,0.5,11.07,10.7621355
,8103.15,1.3186,0.5,11.09,10.85477
,8243.87,1.3188,0.5,11.09,10.82258
,8243.87,1.3188,0.5,11.09,10.874567
,8243.87,1.3188,0.5,11.03,10.86206
,8180.71,1.3157,0.5,11.19,10.825529
,8195.92,1.3197,0.5,11.2,10.923498
,8234.98,1.3119,0.5,11.31,10.917454
,8275.67,1.3158,0.5,11.26,11.02937
,8276.32,1.3253,0.5,11.26,10.982405
,8276.32,1.3253,0.5,11.26,10.981256
,8276.32,1.3253,0.5,11.42,10.986772
,8446.54,1.3266,0.5,11.53,11.100673
,8495.73,1.3301,0.5,11.56,11.220012
,8494.0,1.3308,0.5,11.65,11.243369
,8509.42,1.3259,0.5,11.62,11.315213
,8613.0,1.3352,0.5,11.62,11.301536
,8613.0,1.3352,0.5,11.62,11.321127
,8613.0,1.3352,0.5,11.7,11.323239
,8596.95,1.3349,0.5,11.66,11.383243
,8636.06,1.3348,0.5,11.72,11.344202
,8694.18,1.3542,0.5,11.92,11.408703
,8675.73,1.3509,0.5,11.91,11.544681
,8635.29,1.3492,0.5,11.91,11.549335
,8635.29,1.3492,0.5,11.91,11.546606
,8635.29,1.3492,0.5,11.77,11.548285
,8664.6,1.3492,0.5,11.75,11.441076
,8665.63,1.3507,0.5,11.73,11.441822
,8664.1,1.3481,0.5,11.82,11.416412
,8661.51,1.3541,0.5,11.81,11.489487
,8594.4,1.3536,0.5,11.81,11.4639845
,8594.4,1.3536,0.5,11.81,11.457087
,8594.4,1.3536,0.5,11.74,11.458848
,8689.14,1.3525,0.5,11.82,11.40583
,8629.42,1.359,0.5,11.92,11.500421
,8597.91,1.3623,0.25,11.93,11.537232
,8622.97,1.3595,0.25,11.93,11.71377
,8591.58,1.3571,0.25,11.93,11.634959
,8591.58,1.3571,0.25,11.93,11.65278
,8591.58,1.3571,0.25,11.88,11.652905
,8555.89,1.3596,0.25,11.79,11.619163
,8516.69,1.3516,0.25,11.45,11.541384
,8685.77,1.3522,0.25,11.68,11.296141
,8724.83,1.3562,0.25,11.81,11.530788
,8723.81,1.3586,0.25,11.81,11.5949335
,8723.81,1.3586,0.25,11.81,11.595301
,8723.81,1.3586,0.25,11.78,11.601433
,8804.44,1.3503,0.25,11.87,11.578586
,8846.0,1.3491,0.25,11.94,11.687074
,8811.98,1.3664,0.25,11.91,11.734025
,8865.1,1.3695,0.25,12.16,11.669175
,8867.22,1.3675,0.25,12.16,11.900402
,8867.22,1.3675,0.25,12.16,11.890049
,8867.22,1.3675,0.25,12.24,11.898238
,8947.46,1.3773,0.25,12.33,11.9621315
,8919.86,1.3782,0.25,12.11,12.037654
,8980.63,1.3803,0.25,12.22,11.860706
,8985.74,1.3794,0.25,12.28,11.974866
,8978.65,1.3785,0.25,12.28,12.011716
,8978.65,1.3785,0.25,12.28,12.010801
,8978.65,1.3785,0.25,12.15,12.011547
,9022.04,1.3769,0.25,12.15,11.908036
,9010.27,1.3771,0.25,12.21,11.927422
,9033.92,1.3595,0.25,12.1,11.961933
,9007.83,1.3487,0.25,12.1,11.9063
,9037.23,1.351,0.25,12.1,11.9013405
,9037.23,1.351,0.25,12.1,11.892457
,9037.23,1.351,0.25,12.15,11.894002
,9009.11,1.3474,0.25,12.1,11.93301
,9040.87,1.3527,0.25,12.23,11.889362
,9081.03,1.3382,0.25,12.05,11.994865
,9078.28,1.3349,0.25,11.89,11.88393
,9107.86,1.3407,0.25,11.89,11.759896
,9107.86,1.3407,0.25,11.89,11.759243
,9107.86,1.3407,0.25,12.1,11.756777
,9076.48,1.3437,0.25,12.1,11.918867
,9054.83,1.3404,0.25,12.08,11.892099
,9149.66,1.3458,0.25,12.26,11.889855
,9168.69,1.3474,0.25,12.35,12.048127
,9225.43,1.3525,0.25,12.35,12.11419
,9225.43,1.3525,0.25,12.35,12.124426
,9225.43,1.3525,0.25,12.37,12.1303
,9193.29,1.3525,0.25,12.23,12.145771
,9202.07,1.3463,0.25,12.21,12.023992
,9196.08,1.3461,0.25,12.24,12.029902
,9219.04,1.3524,0.25,12.39,12.040062
,9299.95,1.3506,0.25,12.39,12.154255
,9299.95,1.3506,0.25,12.39,12.179533
,9299.95,1.3506,0.25,12.45,12.177648
,9290.07,1.3559999999999999,0.25,12.39,12.225742
,9351.13,1.3574,0.25,12.51,12.163174
,9387.37,1.3599,0.25,12.5,12.286178
,9405.3,1.3615,0.25,12.52,12.275193
,9401.96,1.3556,0.25,12.52,12.299157
,9401.96,1.3556,0.25,12.52,12.306355
,9401.96,1.3556,0.25,12.48,12.29961
