,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
2955,2004-01-01,1065.27,3158.37,8.95,96.26,1123.15,151.12,8.67,,189.71,17.75,17.78,19.88,16.22
2956,2004-01-02,1082.86,3178.46,9.06,96.26,1123.15,151.12,8.7,,189.71,17.75,17.78,19.88,16.22
2957,2004-01-03,1082.84,3178.46,9.06,96.26,1123.15,151.12,8.7,,189.71,17.75,17.78,19.88,16.22
2958,2004-01-04,1082.8,3178.46,9.06,96.26,1123.15,151.12,8.7,,189.71,17.75,17.78,19.88,16.22
2959,2004-01-05,1093.37,3192.46,9.08,96.26,1123.15,151.12,8.7,,189.71,17.75,17.78,19.88,16.22
2960,2004-01-06,1108.55,3232.2,9.08,96.26,1123.15,151.12,8.75,,189.71,17.75,17.78,19.88,16.22
2961,2004-01-07,1111.98,3233.14,9.13,96.26,1123.15,151.12,8.75,,189.71,17.75,17.78,19.88,16.22
2962,2004-01-08,1136.13,3287.82,9.32,96.26,1123.15,151.12,8.85,,189.71,17.75,17.78,19.88,16.22
2963,2004-01-09,1137.44,3259.07,9.29,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2964,2004-01-10,1137.41,3259.07,9.29,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2965,2004-01-11,1137.37,3259.07,9.29,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2966,2004-01-12,1140.44,3251.59,9.35,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2967,2004-01-13,1138.82,3245.14,9.42,96.26,1123.15,151.12,8.9,,189.71,17.75,17.78,19.88,16.22
2968,2004-01-14,1149.47,3250.83,9.5,96.26,1123.15,151.12,8.85,,189.71,17.75,17.78,19.88,16.22
2969,2004-01-15,1156.0,3271.97,9.53,96.26,1123.15,151.12,8.83,,189.71,17.75,17.78,19.88,16.22
2970,2004-01-16,1165.07,3300.06,9.61,96.26,1123.15,151.12,8.95,,189.71,17.75,17.78,19.88,16.22
2971,2004-01-17,1165.04,3300.06,9.61,96.26,1123.15,151.12,8.95,,189.71,17.75,17.78,19.88,16.22
2972,2004-01-18,1165.0,3300.06,9.61,96.26,1123.15,151.12,8.95,,189.71,17.75,17.78,19.88,16.22
2973,2004-01-19,1171.23,3314.82,9.72,96.26,1123.15,151.12,9.0,,189.71,17.75,17.78,19.88,16.22
2974,2004-01-20,1163.84,3322.41,9.69,96.26,1123.15,151.12,9.01,,189.71,17.75,17.78,19.88,16.22
2975,2004-01-21,1154.51,3296.98,9.58,96.26,1123.15,151.12,8.95,,189.71,17.75,17.78,19.88,16.22
2976,2004-01-22,1174.38,3358.05,9.69,96.26,1123.15,151.12,9.02,,189.71,17.75,17.78,19.88,16.22
2977,2004-01-23,1172.76,3357.41,9.72,96.26,1123.15,151.12,8.99,,189.71,17.75,17.78,19.88,16.22
2978,2004-01-24,1174.52,3357.41,9.72,96.26,1123.15,151.12,8.99,,189.71,17.75,17.78,19.88,16.22
2979,2004-01-25,1174.49,3357.41,9.72,96.26,1123.15,151.12,8.99,,189.71,17.75,17.78,19.88,16.22
2980,2004-01-26,1174.3,3358.71,9.74,96.26,1123.15,151.12,8.98,,189.71,17.75,17.78,19.88,16.22
2981,2004-01-27,1181.5,3381.08,9.77,96.26,1123.15,151.12,9.06,,189.71,17.75,17.78,19.88,16.22
2982,2004-01-28,1182.5,3382.8,9.66,96.26,1123.15,151.12,8.97,,189.71,17.75,17.78,19.88,16.22
2983,2004-01-29,1180.0,3382.63,9.6,96.26,1123.15,151.12,8.82,,189.71,17.75,17.78,19.88,16.22
2984,2004-01-30,1173.71,3358.25,9.64,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2985,2004-01-31,1173.67,3358.25,9.64,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2986,2004-02-01,1173.67,3358.25,9.64,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
2987,2004-02-02,1173.35,3342.24,9.65,96.26,1123.15,151.12,8.86,,189.71,17.75,17.78,19.88,16.22
2988,2004-02-03,1179.78,3360.99,9.6,96.26,1123.15,151.12,8.85,,189.71,17.75,17.78,19.88,16.22
2989,2004-02-04,1178.58,3359.0,9.59,96.26,1123.15,151.12,8.78,,189.71,17.75,17.78,19.88,16.22
2990,2004-02-05,1182.15,3362.62,9.66,96.26,1123.15,151.12,8.75,,189.71,17.75,17.78,19.88,16.22
2991,2004-02-06,1202.86,3401.32,9.75,96.26,1123.15,151.12,8.73,,189.71,17.75,17.78,19.88,16.22
2992,2004-02-07,1202.82,3401.32,9.75,96.26,1123.15,151.12,8.73,,189.71,17.75,17.78,19.88,16.22
2993,2004-02-08,1202.79,3401.32,9.75,96.26,1123.15,151.12,8.73,,189.71,17.75,17.78,19.88,16.22
2994,2004-02-09,1202.07,3405.47,9.8,96.26,1123.15,151.12,8.91,,189.71,17.75,17.78,19.88,16.22
2995,2004-02-10,1222.02,3429.83,9.85,96.26,1123.15,151.12,8.88,,189.71,17.75,17.78,19.88,16.22
2996,2004-02-11,1237.23,3459.88,9.89,96.26,1123.15,151.12,8.96,,189.71,17.75,17.78,19.88,16.22
2997,2004-02-12,1236.02,3459.24,9.94,96.26,1123.15,151.12,9.06,,189.71,17.75,17.78,19.88,16.22
2998,2004-02-13,1220.92,3436.35,9.86,96.26,1123.15,151.12,9.06,,189.71,17.75,17.78,19.88,16.22
2999,2004-02-14,1220.88,3436.35,9.86,96.26,1123.15,151.12,9.06,,189.71,17.75,17.78,19.88,16.22
3000,2004-02-15,1220.84,3436.35,9.86,96.26,1123.15,151.12,9.06,,189.71,17.75,17.78,19.88,16.22
3001,2004-02-16,1224.4,3440.74,9.91,96.26,1123.15,151.12,8.95,,189.71,17.75,17.78,19.88,16.22
3002,2004-02-17,1223.39,3451.89,9.96,96.26,1123.15,151.12,9.01,,189.71,17.75,17.78,19.88,16.22
3003,2004-02-18,1231.85,3473.23,10.0,96.26,1123.15,151.12,9.04,,189.71,17.75,17.78,19.88,16.22
3004,2004-02-19,1256.0,3527.31,10.12,96.26,1123.15,151.12,9.07,,189.71,17.75,17.78,19.88,16.22
3005,2004-02-20,1245.12,3513.45,10.07,96.26,1123.15,151.12,8.9,,189.71,17.75,17.78,19.88,16.22
3006,2004-02-21,1245.08,3513.45,10.07,96.26,1123.15,151.12,8.9,,189.71,17.75,17.78,19.88,16.22
3007,2004-02-22,1245.04,3513.45,10.07,96.26,1123.15,151.12,8.9,,189.71,17.75,17.78,19.88,16.22
3008,2004-02-23,1248.16,3507.86,10.13,96.26,1123.15,151.12,8.88,,189.71,17.75,17.78,19.88,16.22
3009,2004-02-24,1237.13,3456.55,9.96,96.26,1123.15,151.12,8.8,,189.71,17.75,17.78,19.88,16.22
3010,2004-02-25,1240.3,3475.56,10.0,96.26,1123.15,151.12,8.87,,189.71,17.75,17.78,19.88,16.22
3011,2004-02-26,1240.73,3460.14,10.07,96.26,1123.15,151.12,8.84,,189.71,17.75,17.78,19.88,16.22
3012,2004-02-27,1236.77,3468.18,10.15,96.26,1123.15,151.12,8.94,,189.71,17.75,17.78,19.88,16.22
3013,2004-02-28,1236.73,3468.18,10.15,96.26,1123.15,151.12,8.94,,189.71,17.75,17.78,19.88,16.22
3014,2004-02-29,1236.69,3468.18,10.15,96.26,1123.15,151.12,8.94,,189.71,17.75,17.78,19.88,16.22
3015,2004-03-01,1244.14,3472.32,10.22,96.26,1123.15,151.12,8.94,,189.71,17.75,17.78,19.88,16.22
3016,2004-03-02,1248.77,3508.59,10.33,96.26,1123.15,151.12,9.04,,189.71,17.75,17.78,19.88,16.22
3017,2004-03-03,1239.88,3484.22,10.36,96.26,1123.15,151.12,8.93,,189.71,17.75,17.78,19.88,16.22
3018,2004-03-04,1249.62,3504.05,10.36,96.26,1123.15,151.12,8.94,,189.71,17.75,17.78,19.88,16.22
3019,2004-03-05,1253.09,3527.36,10.33,96.26,1123.15,151.12,8.97,,189.71,17.75,17.78,19.88,16.22
3020,2004-03-06,1253.05,3527.36,10.33,96.26,1123.15,151.12,8.97,,189.71,17.75,17.78,19.88,16.22
3021,2004-03-07,1253.01,3527.36,10.33,96.26,1123.15,151.12,8.97,,189.71,17.75,17.78,19.88,16.22
3022,2004-03-08,1250.99,3535.45,10.4,96.26,1123.15,151.12,9.02,,189.71,17.75,17.78,19.88,16.22
3023,2004-03-09,1228.8,3482.69,10.26,96.26,1123.15,151.12,8.87,,189.71,17.75,17.78,19.88,16.22
3024,2004-03-10,1227.25,3465.18,10.16,96.26,1123.15,151.12,8.82,,189.71,17.75,17.78,19.88,16.22
3025,2004-03-11,1184.5,3369.94,9.96,96.26,1123.15,151.12,8.66,,189.71,17.75,17.78,19.88,16.22
3026,2004-03-12,1174.39,3331.48,10.01,96.26,1123.15,151.12,8.66,,189.71,17.75,17.78,19.88,16.22
3027,2004-03-13,1174.36,3331.48,10.01,96.26,1123.15,151.12,8.66,,189.71,17.75,17.78,19.88,16.22
3028,2004-03-14,1174.32,3331.48,10.01,96.26,1123.15,151.12,8.66,,189.71,17.75,17.78,19.88,16.22
3029,2004-03-15,1157.05,3309.56,9.96,96.26,1123.15,151.12,8.65,,189.71,17.75,17.78,19.88,16.22
3030,2004-03-16,1160.74,3291.29,9.92,96.26,1123.15,151.12,8.62,,189.71,17.75,17.78,19.88,16.22
3031,2004-03-17,1175.02,3318.26,10.03,96.26,1123.15,151.12,8.66,,189.71,17.75,17.78,19.88,16.22
3032,2004-03-18,1168.84,3326.16,9.97,96.26,1123.15,151.12,8.71,,189.71,17.75,17.78,19.88,16.22
3033,2004-03-19,1166.48,3291.66,9.9,96.26,1123.15,151.12,8.68,,189.71,17.75,17.78,19.88,16.22
3034,2004-03-20,1166.44,3291.66,9.9,96.26,1123.15,151.12,8.68,,189.71,17.75,17.78,19.88,16.22
3035,2004-03-21,1166.41,3291.66,9.9,96.26,1123.15,151.12,8.68,,189.71,17.75,17.78,19.88,16.22
3036,2004-03-22,1137.61,3218.67,9.69,96.26,1123.15,151.12,8.49,,189.71,17.75,17.78,19.88,16.22
3037,2004-03-23,1146.36,3232.28,9.79,96.26,1123.15,151.12,8.54,,189.71,17.75,17.78,19.88,16.22
3038,2004-03-24,1139.27,3226.8,9.78,96.26,1123.15,151.12,8.49,,189.71,17.75,17.78,19.88,16.22
3039,2004-03-25,1160.84,3271.03,9.88,96.26,1123.15,151.12,8.57,,189.71,17.75,17.78,19.88,16.22
3040,2004-03-26,1153.93,3257.41,9.82,96.26,1123.15,151.12,8.72,,189.71,17.75,17.78,19.88,16.22
3041,2004-03-27,1153.89,3257.41,9.82,96.26,1123.15,151.12,8.72,,189.71,17.75,17.78,19.88,16.22
3042,2004-03-28,1153.86,3257.41,9.82,96.26,1123.15,151.12,8.72,,189.71,17.75,17.78,19.88,16.22
3043,2004-03-29,1165.09,3289.65,9.95,96.26,1123.15,151.12,8.79,,189.71,17.75,17.78,19.88,16.22
3044,2004-03-30,1156.13,3275.68,9.9,96.26,1123.15,151.12,8.82,,189.71,17.75,17.78,19.88,16.22
3045,2004-03-31,1163.09,3316.62,9.97,96.26,1123.15,151.12,8.86,,189.71,17.75,17.78,19.88,16.22
3046,2004-04-01,1170.35,3332.91,10.02,96.26,1123.15,151.12,8.87,,189.71,17.75,17.78,19.88,16.22
3047,2004-04-02,1190.85,3361.0,10.2,96.26,1123.15,151.12,9.02,,189.71,17.75,17.78,19.88,16.22
3048,2004-04-03,1190.81,3361.0,10.2,96.26,1123.15,151.12,9.02,,189.71,17.75,17.78,19.88,16.22
3049,2004-04-04,1190.77,3361.0,10.2,96.26,1123.15,151.12,9.02,,189.71,17.75,17.78,19.88,16.22
3050,2004-04-05,1195.87,3397.35,10.25,96.26,1123.15,151.12,9.05,,189.71,17.75,17.78,19.88,16.22
3051,2004-04-06,1169.66,3338.01,10.09,96.26,1123.15,151.12,9.06,,189.71,17.75,17.78,19.88,16.22
3052,2004-04-07,1170.27,3341.11,10.07,96.26,1123.15,151.12,9.01,,189.71,17.75,17.78,19.88,16.22
3053,2004-04-08,1170.23,3341.11,10.09,96.26,1123.15,151.12,9.05,,189.71,17.75,17.78,19.88,16.22
3054,2004-04-09,1170.2,3341.11,10.09,96.26,1123.15,151.12,9.05,,189.71,17.75,17.78,19.88,16.22
3055,2004-04-10,1170.16,3341.11,10.09,96.26,1123.15,151.12,9.05,,189.71,17.75,17.78,19.88,16.22
3056,2004-04-11,1170.12,3341.11,10.09,96.26,1123.15,151.12,9.05,90.85,189.71,17.75,17.78,19.88,16.22
3057,2004-04-12,1170.08,3341.11,10.09,96.26,1123.15,151.12,9.05,90.85,189.71,17.75,17.78,19.88,16.22
3058,2004-04-13,1166.39,3348.87,10.13,96.26,1123.15,151.12,9.03,90.85,189.71,17.75,17.78,19.88,16.22
3059,2004-04-14,1153.58,3278.16,9.99,96.26,1123.15,151.12,8.89,90.85,189.71,17.75,17.78,19.88,16.22
3060,2004-04-15,1145.95,3281.86,10.02,96.26,1123.15,151.12,8.88,90.85,189.71,17.75,17.78,19.88,16.22
3061,2004-04-16,1139.99,3265.02,9.93,96.26,1123.15,151.12,8.8,90.85,189.71,17.75,17.78,19.88,16.22
3062,2004-04-17,1139.95,3265.02,9.93,96.26,1123.15,151.12,8.8,90.85,189.71,17.75,17.78,19.88,16.22
3063,2004-04-18,1139.92,3265.02,9.93,96.26,1123.15,151.12,8.8,90.85,189.71,17.75,17.78,19.88,16.22
3064,2004-04-19,1142.1,3276.32,9.97,96.26,1123.15,151.12,8.87,90.85,189.71,17.75,17.78,19.88,16.22
3065,2004-04-20,1153.09,3316.28,10.07,96.26,1123.15,151.12,8.93,90.85,189.71,17.75,17.78,19.88,16.22
3066,2004-04-21,1144.14,3282.61,10.0,96.26,1123.15,151.12,8.76,90.85,189.71,17.75,17.78,19.88,16.22
3067,2004-04-22,1147.18,3291.29,10.04,96.26,1123.15,151.12,8.83,90.85,189.71,17.75,17.78,19.88,16.22
3068,2004-04-23,1152.34,3317.04,10.1,96.26,1123.15,151.12,8.99,90.85,189.71,17.75,17.78,19.88,16.22
3069,2004-04-24,1152.3,3317.04,10.1,96.26,1123.15,151.12,8.99,90.85,189.71,17.75,17.78,19.88,16.22
3070,2004-04-25,1152.27,3317.04,10.1,96.26,1123.15,151.12,8.99,90.85,189.71,17.75,17.78,19.88,16.22
3071,2004-04-26,1153.95,3325.62,10.06,96.26,1123.15,151.12,9.0,90.85,189.71,17.75,17.78,19.88,16.22
3072,2004-04-27,1144.79,3278.17,10.02,96.26,1123.15,151.12,8.93,90.85,189.71,17.75,17.78,19.88,16.22
3073,2004-04-28,1123.51,3223.46,9.87,96.26,1123.15,151.12,8.82,90.85,189.71,17.75,17.78,19.88,16.22
3074,2004-04-29,1109.94,3166.98,9.78,96.26,1123.15,151.12,8.71,90.85,189.71,17.75,17.78,19.88,16.22
3075,2004-04-30,1102.82,3171.29,9.78,96.26,1123.15,151.12,8.64,90.85,189.71,17.75,17.78,19.88,16.22
3076,2004-05-01,1102.78,3171.29,9.78,96.26,1123.15,151.12,8.64,90.85,189.71,17.75,17.78,19.88,16.22
3077,2004-05-02,1102.75,3171.29,9.78,96.26,1123.15,151.12,8.64,90.85,189.71,17.75,17.78,19.88,16.22
3078,2004-05-03,1106.52,3177.79,9.73,96.26,1123.15,151.12,8.6,90.85,189.71,17.75,17.78,19.88,16.22
3079,2004-05-04,1107.72,3186.07,9.77,96.26,1123.15,151.12,8.62,90.85,189.71,17.75,17.78,19.88,16.22
3080,2004-05-05,1116.65,3208.01,9.87,96.26,1123.15,151.12,8.65,90.85,189.71,17.75,17.78,19.88,16.22
3081,2004-05-06,1090.39,3170.03,9.69,96.26,1123.15,151.12,8.6,90.85,189.71,17.75,17.78,19.88,16.22
3082,2004-05-07,1084.37,3135.29,9.6,96.26,1123.15,151.12,8.57,90.85,189.71,17.75,17.78,19.88,16.22
3083,2004-05-08,1084.33,3135.29,9.6,96.26,1123.15,151.12,8.57,90.85,189.71,17.75,17.78,19.88,16.22
3084,2004-05-09,1084.3,3135.29,9.6,96.26,1123.15,151.12,8.57,90.85,189.71,17.75,17.78,19.88,16.22
3085,2004-05-10,1052.87,3063.85,9.44,96.26,1123.15,151.12,8.38,90.85,189.71,17.75,17.78,19.88,16.22
3086,2004-05-11,1074.28,3090.94,9.46,96.26,1123.15,151.12,8.46,90.85,189.71,17.75,17.78,19.88,16.22
3087,2004-05-12,1060.49,3076.15,9.4,96.26,1123.15,151.12,8.43,90.85,189.71,17.75,17.78,19.88,16.22
3088,2004-05-13,1077.03,3088.46,9.46,96.26,1123.15,151.12,8.44,90.85,189.71,17.75,17.78,19.88,16.22
3089,2004-05-14,1070.91,3102.75,9.49,96.26,1123.15,151.12,8.42,90.85,189.71,17.75,17.78,19.88,16.22
3090,2004-05-15,1070.88,3102.75,9.49,96.26,1123.15,151.12,8.42,90.85,189.71,17.75,17.78,19.88,16.22
3091,2004-05-16,1070.88,3102.75,9.49,96.26,1123.15,151.12,8.42,90.85,189.71,17.75,17.78,19.88,16.22
3092,2004-05-17,1070.81,3102.75,9.35,96.26,1123.15,151.12,8.3,90.85,189.71,17.75,17.78,19.88,16.22
3093,2004-05-18,1075.34,3100.44,9.39,96.26,1123.15,151.12,8.37,90.85,189.71,17.75,17.78,19.88,16.22
3094,2004-05-19,1090.28,3139.3,9.51,96.26,1123.15,151.12,8.48,90.85,189.71,17.75,17.78,19.88,16.22
3095,2004-05-20,1090.24,3139.3,9.51,96.26,1123.15,151.12,8.48,90.85,189.71,17.75,17.78,19.88,16.22
3096,2004-05-21,1081.39,3113.43,9.41,96.26,1123.15,151.12,8.4,90.85,189.71,17.75,17.78,19.88,16.22
3097,2004-05-22,1081.36,3113.43,9.41,96.26,1123.15,151.12,8.4,90.85,189.71,17.75,17.78,19.88,16.22
3098,2004-05-23,1081.32,3113.43,9.41,96.26,1123.15,151.12,8.4,90.85,189.71,17.75,17.78,19.88,16.22
3099,2004-05-24,1086.12,3135.06,9.51,96.26,1123.15,151.12,8.49,90.85,189.71,17.75,17.78,19.88,16.22
3100,2004-05-25,1077.6,3103.56,9.43,96.26,1123.15,151.12,8.44,90.85,189.71,17.75,17.78,19.88,16.22
3101,2004-05-26,1078.55,3126.98,9.46,96.26,1123.15,151.12,8.66,90.85,189.71,17.75,17.78,19.88,16.22
3102,2004-05-27,1086.73,3146.62,9.54,96.26,1123.15,151.12,8.76,90.85,189.71,17.75,17.78,19.88,16.22
3103,2004-05-28,1086.96,3147.48,9.57,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3104,2004-05-29,1086.93,3147.48,9.57,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3105,2004-05-30,1086.89,3147.48,9.57,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3106,2004-05-31,1086.86,3147.48,9.57,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3107,2004-06-01,1084.56,3143.98,9.56,96.26,1123.15,151.12,8.77,90.85,189.71,17.75,17.78,19.88,16.22
3108,2004-06-02,1091.49,3149.97,9.62,96.26,1123.15,151.12,8.77,90.85,189.71,17.75,17.78,19.88,16.22
3109,2004-06-03,1092.03,3141.05,9.6,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3110,2004-06-04,1101.51,3175.98,9.71,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3111,2004-06-05,1101.47,3175.98,9.71,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3112,2004-06-06,1101.44,3175.98,9.71,96.26,1123.15,151.12,8.73,90.85,189.71,17.75,17.78,19.88,16.22
3113,2004-06-07,1109.34,3207.71,9.81,96.26,1123.15,151.12,8.81,90.85,189.71,17.75,17.78,19.88,16.22
3114,2004-06-08,1112.63,3216.61,9.78,96.26,1123.15,151.12,8.86,90.85,189.71,17.75,17.78,19.88,16.22
3115,2004-06-09,1103.5,3209.08,9.79,96.26,1123.15,151.12,8.87,90.85,189.71,17.75,17.78,19.88,16.22
3116,2004-06-10,1108.63,3207.02,9.78,96.26,1123.15,151.12,8.81,90.85,189.71,17.75,17.78,19.88,16.22
3117,2004-06-11,1115.51,3222.54,9.8,96.26,1123.15,151.12,8.81,90.85,189.71,17.75,17.78,19.88,16.22
