,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
5512,2011-01-01,2130.32,5430.2,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5513,2011-01-02,2130.32,5430.2,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5514,2011-01-03,2168.21,5517.65,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5515,2011-01-04,2165.22,5515.29,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5516,2011-01-05,2155.69,5442.56,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5517,2011-01-06,2149.01,5444.19,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5518,2011-01-07,2147.26,5439.46,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5519,2011-01-08,2147.26,5439.46,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5520,2011-01-09,2147.26,5439.46,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5521,2011-01-10,2141.01,5395.57,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5522,2011-01-11,2177.61,5494.2,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5523,2011-01-12,2185.57,5510.88,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5524,2011-01-13,2184.34,5476.12,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5525,2011-01-14,2182.64,5486.6,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5526,2011-01-15,2182.64,5486.6,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5527,2011-01-16,2182.64,5486.6,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5528,2011-01-17,2167.09,5452.66,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5529,2011-01-18,2193.22,5503.78,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5530,2011-01-19,2159.83,5459.03,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5531,2011-01-20,2131.09,5373.62,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5532,2011-01-21,2135.98,5385.99,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5533,2011-01-22,2135.98,5385.99,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5534,2011-01-23,2135.98,5385.99,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5535,2011-01-24,2129.72,5327.46,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5536,2011-01-25,2132.92,5378.12,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5537,2011-01-26,2171.18,5479.95,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5538,2011-01-27,2191.6,5512.04,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5539,2011-01-28,2175.73,5494.93,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5540,2011-01-29,2175.73,5494.93,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5541,2011-01-30,2175.73,5494.93,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5542,2011-01-31,2168.12,5410.62,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5543,2011-02-01,2174.56,5450.51,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5544,2011-02-02,2158.36,5353.16,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5545,2011-02-03,2142.95,5347.71,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5546,2011-02-04,2144.14,5346.61,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5547,2011-02-05,2144.14,5346.61,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5548,2011-02-06,2144.14,5346.61,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5549,2011-02-07,2162.29,5387.7,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5550,2011-02-08,2157.27,5370.32,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5551,2011-02-09,2157.79,5393.96,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5552,2011-02-10,2142.2,5367.37,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5553,2011-02-11,2146.84,5394.32,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5554,2011-02-12,2146.84,5394.32,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5555,2011-02-13,2146.84,5394.32,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5556,2011-02-14,2138.4,5443.47,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5557,2011-02-15,2115.02,5386.14,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5558,2011-02-16,2119.0,5389.46,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5559,2011-02-17,2088.72,5311.73,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5560,2011-02-18,2092.29,5313.06,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5561,2011-02-19,2092.29,5313.06,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5562,2011-02-20,2092.29,5313.06,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5563,2011-02-21,2079.61,5288.94,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5564,2011-02-22,2067.47,5249.51,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5565,2011-02-23,2030.04,5177.97,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5566,2011-02-24,2021.79,5207.51,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5567,2011-02-25,2053.3,5274.45,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5568,2011-02-26,2053.3,5274.45,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5569,2011-02-27,2053.3,5274.45,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5570,2011-02-28,2075.07,5336.68,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5571,2011-03-01,2065.79,5326.86,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5572,2011-03-02,2049.44,5250.09,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5573,2011-03-03,2074.11,5328.67,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5574,2011-03-04,2077.42,5336.6,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5575,2011-03-05,2077.42,5336.6,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5576,2011-03-06,2077.42,5336.6,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5577,2011-03-07,2072.35,5342.56,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5578,2011-03-08,2070.47,5313.31,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5579,2011-03-09,2087.76,5343.88,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5580,2011-03-10,2076.0,5322.36,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5581,2011-03-11,2052.28,5247.97,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5582,2011-03-12,2052.28,5247.97,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5583,2011-03-13,2052.28,5247.97,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5584,2011-03-14,2028.63,5189.82,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5585,2011-03-15,1987.08,5102.45,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5586,2011-03-16,1967.46,5120.33,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5587,2011-03-17,2007.39,5145.33,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5588,2011-03-18,2036.49,5239.74,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5589,2011-03-19,2036.49,5239.74,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5590,2011-03-20,2036.49,5239.74,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5591,2011-03-21,2053.36,5302.57,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5592,2011-03-22,2051.56,5261.33,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
