,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
8434,2019-01-01,4057.85,10422.16,26.73,90.01,1058.65,143.94,19.54,85.23,178.48,17.39,17.3,19.26,15.44
8435,2019-01-02,4053.43,10388.07,26.67,89.69,1056.99,144.01,19.27,84.82,176.95,17.11,17.09,18.84,15.26
8436,2019-01-03,4041.41,10366.23,26.76,88.77,1064.53,143.57,19.22,85.34,177.03,16.92,16.92,18.72,15.04
8437,2019-01-04,4120.38,10437.14,27.16,89.43,1074.52,146.02,19.39,86.3,178.53,17.09,17.2,18.85,15.24
8438,2019-01-05,4120.38,10437.14,27.16,89.43,1074.52,146.02,19.39,86.3,178.53,17.09,17.2,18.85,15.24
8439,2019-01-06,4120.38,10437.14,27.16,89.43,1074.52,146.02,19.39,86.3,178.53,17.09,17.2,18.85,15.24
8440,2019-01-07,4122.71,10508.91,27.38,90.9,1087.2,146.1,19.87,87.2,180.86,17.32,17.29,19.21,15.41
8441,2019-01-08,4167.48,10646.73,27.79,91.98,1095.28,148.16,20.19,88.36,183.69,17.24,17.23,19.22,15.41
8442,2019-01-09,4198.16,10734.84,28.12,93.89,1102.28,148.81,20.37,88.88,185.07,17.5,17.43,19.64,15.61
8443,2019-01-10,4178.3,10603.71,27.9,92.72,1099.45,148.12,20.23,88.45,183.71,17.57,17.58,19.59,15.66
8444,2019-01-11,4177.61,10622.53,27.95,93.69,1108.86,148.68,20.41,88.98,184.81,17.62,17.64,19.65,15.78
8445,2019-01-12,4177.61,10622.53,27.95,93.69,1108.86,148.68,20.41,88.98,184.81,17.62,17.64,19.65,15.78
8446,2019-01-13,4177.61,10622.53,27.95,93.69,1108.86,148.68,20.41,88.98,184.81,17.62,17.64,19.65,15.78
8447,2019-01-14,4143.84,10521.74,27.8,92.55,1096.45,148.13,20.29,89.15,184.64,17.36,17.43,19.44,15.6
8448,2019-01-15,4144.75,10503.44,27.8,92.91,1103.27,148.65,20.59,89.49,185.98,17.58,17.52,19.8,15.92
8449,2019-01-16,4167.24,10589.75,28.14,93.17,1103.86,149.6,20.85,89.98,187.76,17.69,17.64,19.84,16.03
8450,2019-01-17,4184.94,10568.59,28.14,93.24,1103.72,149.41,20.85,89.87,187.5,17.72,17.7,19.86,16.04
8451,2019-01-18,4239.18,10663.8,28.45,94.8,1120.55,151.81,21.0,90.95,189.82,17.84,17.82,20.04,16.2
8452,2019-01-19,4239.18,10663.8,28.45,94.8,1120.55,151.81,21.0,90.95,189.82,17.84,17.82,20.04,16.2
8453,2019-01-20,4239.18,10663.8,28.45,94.8,1120.55,151.81,21.0,90.95,189.82,17.84,17.82,20.04,16.2
8454,2019-01-21,4248.28,10704.39,28.43,95.68,1124.62,151.79,21.19,91.54,189.82,17.92,17.95,20.02,16.22
8455,2019-01-22,4248.28,10672.08,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
