,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
5877,2012-01-01,4248.28,4428.69,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5878,2012-01-02,4248.28,4488.85,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5879,2012-01-03,4248.28,4514.92,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5880,2012-01-04,4248.28,4485.29,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5881,2012-01-05,4248.28,4509.34,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5882,2012-01-06,4248.28,4509.08,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5883,2012-01-07,4248.28,4509.08,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5884,2012-01-08,4248.28,4509.08,28.35,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5885,2012-01-09,1762.24,4504.83,12.49,96.26,1123.15,151.12,9.05,48.87,189.71,17.75,17.78,12.36,16.22
5886,2012-01-10,1793.04,4558.98,12.62,96.26,1123.15,151.12,9.13,49.52,189.71,17.75,17.78,12.54,16.22
5887,2012-01-11,1786.7,4531.34,12.6,96.26,1123.15,151.12,9.09,49.23,189.71,17.75,17.78,12.56,16.22
5888,2012-01-12,1788.93,4560.75,12.69,96.26,1123.15,151.12,9.14,49.69,189.71,17.75,17.78,12.61,16.22
5889,2012-01-13,1782.96,4547.49,12.62,96.26,1123.15,151.12,9.09,49.36,189.71,17.75,17.78,12.65,16.22
5890,2012-01-14,1782.96,4547.49,12.62,96.26,1123.15,151.12,9.09,49.36,189.71,17.75,17.78,12.65,16.22
5891,2012-01-15,1782.96,4547.49,12.62,96.26,1123.15,151.12,9.09,49.36,189.71,17.75,17.78,12.65,16.22
5892,2012-01-16,1792.45,4564.04,12.65,96.26,1123.15,151.12,9.09,49.49,189.71,17.75,17.78,12.53,16.22
5893,2012-01-17,1815.74,4609.86,12.77,96.26,1123.15,151.12,9.19,49.88,189.71,17.75,17.78,12.81,16.22
5894,2012-01-18,1826.33,4658.9,12.78,96.26,1123.15,151.12,9.21,49.78,189.71,17.75,17.78,12.84,16.22
5895,2012-01-19,1831.67,4673.27,12.83,96.26,1123.15,151.12,9.33,50.47,189.71,17.75,17.78,13.02,16.22
5896,2012-01-20,1830.79,4668.84,12.86,96.26,1123.15,151.12,9.3,50.68,189.71,17.75,17.78,13.04,16.22
5897,2012-01-21,1830.79,4668.84,12.86,96.26,1123.15,151.12,9.3,50.68,189.71,17.75,17.78,13.04,16.22
5898,2012-01-22,1830.79,4668.84,12.86,96.26,1123.15,151.12,9.3,50.68,189.71,17.75,17.78,13.04,16.22
5899,2012-01-23,1839.56,4662.32,12.9,96.26,1123.15,151.12,9.34,51.13,189.71,17.75,17.78,13.04,16.22
5900,2012-01-24,1820.33,4587.94,12.73,96.26,1123.15,151.12,9.27,50.45,189.71,17.75,17.78,13.04,16.22
5901,2012-01-25,1813.47,4573.99,12.74,96.26,1123.15,151.12,9.32,50.25,189.71,17.75,17.78,13.1,16.22
5902,2012-01-26,1833.31,4646.77,13.0,96.26,1123.15,151.12,9.49,51.37,189.71,17.75,17.78,13.33,16.22
5903,2012-01-27,1824.79,4628.57,12.95,96.26,1123.15,151.12,9.38,50.58,189.71,17.75,17.78,13.35,16.22
5904,2012-01-28,1824.79,4628.57,12.95,96.26,1123.15,151.12,9.38,50.58,189.71,17.75,17.78,13.35,16.22
5905,2012-01-29,1824.79,4628.57,12.95,96.26,1123.15,151.12,9.38,50.58,189.71,17.75,17.78,13.35,16.22
5906,2012-01-30,1804.8,4556.68,12.71,96.26,1123.15,151.12,9.29,50.06,189.71,17.75,17.78,13.16,16.22
5907,2012-01-31,1819.65,4605.18,12.9,96.26,1123.15,151.12,9.41,50.65,189.71,17.75,17.78,13.3,16.22
5908,2012-02-01,1857.77,4671.6,13.14,96.26,1123.15,151.12,9.4,50.94,189.71,17.75,17.78,13.29,16.22
5909,2012-02-02,1874.29,4723.62,13.25,96.26,1123.15,151.12,9.5,50.97,189.71,17.75,17.78,13.47,16.22
5910,2012-02-03,1897.47,4788.43,13.36,96.26,1123.15,151.12,9.6,51.64,189.71,17.75,17.78,13.48,16.22
5911,2012-02-04,1897.47,4788.43,13.36,96.26,1123.15,151.12,9.6,51.64,189.71,17.75,17.78,13.48,16.22
5912,2012-02-05,1897.47,4788.43,13.36,96.26,1123.15,151.12,9.6,51.64,189.71,17.75,17.78,13.48,16.22
5913,2012-02-06,1893.16,4767.1,13.37,96.26,1123.15,151.12,9.62,51.65,189.71,17.75,17.78,13.54,16.22
5914,2012-02-07,1889.57,4766.39,13.37,96.26,1123.15,151.12,9.6,51.52,189.71,17.75,17.78,13.58,16.22
5915,2012-02-08,1894.08,4804.95,13.5,96.26,1123.15,151.12,9.7,51.96,189.71,17.75,17.78,13.7,16.22
5916,2012-02-09,1903.91,4826.6,13.52,96.26,1123.15,151.12,9.73,51.97,189.71,17.75,17.78,13.76,16.22
5917,2012-02-10,1885.44,4773.24,13.34,96.26,1123.15,151.12,9.66,51.34,189.71,17.75,17.78,13.5,16.22
5918,2012-02-11,1885.44,4773.24,13.34,96.26,1123.15,151.12,9.66,51.34,189.71,17.75,17.78,13.5,16.22
5919,2012-02-12,1885.44,4773.24,13.34,96.26,1123.15,151.12,9.66,51.34,189.71,17.75,17.78,13.5,16.22
5920,2012-02-13,1888.48,4802.18,13.51,96.26,1123.15,151.12,9.73,51.83,189.71,17.75,17.78,13.71,16.22
5921,2012-02-14,1877.78,4781.66,13.45,96.26,1123.15,151.12,9.74,51.57,189.71,17.75,17.78,13.58,16.22
5922,2012-02-15,1910.38,4849.23,13.63,96.26,1123.15,151.12,9.8,51.78,189.71,17.75,17.78,13.79,16.22
