,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
2225,2002-01-01,1131.89,3664.83,11.2,96.26,1123.15,151.12,9.53,,189.71,17.75,17.78,,16.22
2226,2002-01-02,1130.22,3660.03,11.11,96.26,1123.15,151.12,9.46,,189.71,17.75,17.78,,16.22
2227,2002-01-03,1150.16,3740.92,11.31,96.26,1123.15,151.12,9.42,,189.71,17.75,17.78,,16.22
2228,2002-01-04,1163.68,3783.87,11.48,96.26,1123.15,151.12,9.38,,189.71,17.75,17.78,,16.22
2229,2002-01-05,1163.65,3783.87,11.48,96.26,1123.15,151.12,9.38,,189.71,17.75,17.78,,16.22
2230,2002-01-06,1163.62,3783.87,11.48,96.26,1123.15,151.12,9.38,,189.71,17.75,17.78,,16.22
2231,2002-01-07,1149.3,3759.39,11.44,96.26,1123.15,151.12,9.44,,189.71,17.75,17.78,,16.22
2232,2002-01-08,1135.73,3675.17,11.2,96.26,1123.15,151.12,9.43,,189.71,17.75,17.78,,16.22
2233,2002-01-09,1131.33,3667.02,11.2,96.26,1123.15,151.12,9.4,,189.71,17.75,17.78,,16.22
2234,2002-01-10,1123.21,3637.57,10.99,96.26,1123.15,151.12,9.35,,189.71,17.75,17.78,,16.22
2235,2002-01-11,1130.19,3693.09,11.07,96.26,1123.15,151.12,9.41,,189.71,17.75,17.78,,16.22
2236,2002-01-12,1130.16,3693.09,11.07,96.26,1123.15,151.12,9.41,,189.71,17.75,17.78,,16.22
2237,2002-01-13,1130.13,3693.09,11.07,96.26,1123.15,151.12,9.41,,189.71,17.75,17.78,,16.22
2238,2002-01-14,1105.3,3624.82,10.84,96.26,1123.15,151.12,9.35,,189.71,17.75,17.78,,16.22
2239,2002-01-15,1097.2,3539.41,10.68,96.26,1123.15,151.12,9.3,,189.71,17.75,17.78,,16.22
2240,2002-01-16,1077.98,3481.37,10.58,96.26,1123.15,151.12,9.36,,189.71,17.75,17.78,,16.22
2241,2002-01-17,1087.2,3505.26,10.78,96.26,1123.15,151.12,9.27,,189.71,17.75,17.78,,16.22
2242,2002-01-18,1084.0,3486.99,10.64,96.26,1123.15,151.12,9.34,,189.71,17.75,17.78,,16.22
2243,2002-01-19,1083.97,3486.99,10.64,96.26,1123.15,151.12,9.34,,189.71,17.75,17.78,,16.22
2244,2002-01-20,1083.94,3486.99,10.64,96.26,1123.15,151.12,9.34,,189.71,17.75,17.78,,16.22
2245,2002-01-21,1077.66,3479.62,10.57,96.26,1123.15,151.12,9.34,,189.71,17.75,17.78,,16.22
2246,2002-01-22,1083.58,3477.17,10.68,96.26,1123.15,151.12,9.32,,189.71,17.75,17.78,,16.22
2247,2002-01-23,1070.63,3447.89,10.55,96.26,1123.15,151.12,9.33,,189.71,17.75,17.78,,16.22
2248,2002-01-24,1094.96,3534.5,10.82,96.26,1123.15,151.12,9.4,,189.71,17.75,17.78,,16.22
2249,2002-01-25,1083.1,3479.33,10.7,96.26,1123.15,151.12,9.35,,189.71,17.75,17.78,,16.22
2250,2002-01-26,1083.08,3479.33,10.7,96.26,1123.15,151.12,9.35,,189.71,17.75,17.78,,16.22
2251,2002-01-27,1083.05,3479.33,10.7,96.26,1123.15,151.12,9.35,,189.71,17.75,17.78,,16.22
2252,2002-01-28,1087.92,3499.88,10.79,96.26,1123.15,151.12,9.33,,189.71,17.75,17.78,,16.22
2253,2002-01-29,1080.96,3490.34,10.74,96.26,1123.15,151.12,9.32,,189.71,17.75,17.78,,16.22
2254,2002-01-30,1069.8,3435.24,10.52,96.26,1123.15,151.12,9.09,,189.71,17.75,17.78,,16.22
2255,2002-01-31,1089.01,3493.83,10.74,96.26,1123.15,151.12,9.21,,189.71,17.75,17.78,,16.22
2256,2002-02-01,1095.84,3515.78,10.87,96.26,1123.15,151.12,9.33,,189.71,17.75,17.78,,16.22
2257,2002-02-02,1095.81,3515.78,10.87,96.26,1123.15,151.12,9.33,,189.71,17.75,17.78,,16.22
2258,2002-02-03,1095.78,3515.78,10.87,96.26,1123.15,151.12,9.33,,189.71,17.75,17.78,,16.22
2259,2002-02-04,1089.31,3498.56,10.8,96.26,1123.15,151.12,9.28,,189.71,17.75,17.78,,16.22
2260,2002-02-05,1072.14,3472.09,10.71,96.26,1123.15,151.12,9.12,,189.71,17.75,17.78,,16.22
