,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
4782,2009-01-01,1264.97,3646.99,10.78,96.26,1123.15,151.12,6.41,90.85,189.71,17.75,17.78,19.88,16.22
4783,2009-01-02,1315.86,3714.93,11.19,96.26,1123.15,151.12,6.46,90.85,189.71,17.75,17.78,19.88,16.22
4784,2009-01-03,1315.86,3714.93,11.19,96.26,1123.15,151.12,6.46,90.85,189.71,17.75,17.78,19.88,16.22
4785,2009-01-04,1315.86,3714.93,11.19,96.26,1123.15,151.12,6.46,90.85,189.71,17.75,17.78,19.88,16.22
4786,2009-01-05,1329.65,3757.52,11.37,96.26,1123.15,151.12,6.6,90.85,189.71,17.75,17.78,19.88,16.22
4787,2009-01-06,1346.87,3837.28,11.37,96.26,1123.15,151.12,6.8,90.85,189.71,17.75,17.78,19.88,16.22
4788,2009-01-07,1323.14,3807.95,11.46,96.26,1123.15,151.12,6.66,90.85,189.71,17.75,17.78,19.88,16.22
4789,2009-01-08,1326.23,3741.97,11.3,96.26,1123.15,151.12,6.5,90.85,189.71,17.75,17.78,19.88,16.22
4790,2009-01-09,1319.74,3754.85,11.38,96.26,1123.15,151.12,6.45,90.85,189.71,17.75,17.78,19.88,16.22
4791,2009-01-10,1319.74,3754.85,11.38,96.26,1123.15,151.12,6.45,90.85,189.71,17.75,17.78,19.88,16.22
4792,2009-01-11,1319.74,3754.85,11.38,96.26,1123.15,151.12,6.45,90.85,189.71,17.75,17.78,19.88,16.22
4793,2009-01-12,1280.81,3686.04,11.19,96.26,1123.15,151.12,6.42,90.85,189.71,17.75,17.78,19.88,16.22
4794,2009-01-13,1264.28,3594.67,10.98,96.26,1123.15,151.12,6.4,90.85,189.71,17.75,17.78,19.88,16.22
4795,2009-01-14,1206.53,3480.25,10.68,96.26,1123.15,151.12,6.21,90.85,189.71,17.75,17.78,19.88,16.22
4796,2009-01-15,1211.76,3463.84,10.56,96.26,1123.15,151.12,6.13,90.85,189.71,17.75,17.78,19.88,16.22
4797,2009-01-16,1209.5,3472.47,10.7,96.26,1123.15,151.12,6.32,90.85,189.71,17.75,17.78,19.88,16.22
4798,2009-01-17,1209.5,3472.47,10.7,96.26,1123.15,151.12,6.32,90.85,189.71,17.75,17.78,19.88,16.22
4799,2009-01-18,1209.5,3472.47,10.7,96.26,1123.15,151.12,6.32,90.85,189.71,17.75,17.78,19.88,16.22
4800,2009-01-19,1177.5,3396.73,10.57,96.26,1123.15,151.12,6.33,90.85,189.71,17.75,17.78,19.88,16.22
4801,2009-01-20,1147.85,3328.02,10.44,96.26,1123.15,151.12,6.2,90.85,189.71,17.75,17.78,19.88,16.22
