,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
6243,2013-01-01,1955.24,4961.09,13.71,96.26,1123.15,104.0,9.83,52.86,100.01,10.36,17.78,14.88,10.71
6244,2013-01-02,1997.43,5054.98,14.03,96.26,1123.15,106.4,10.21,54.7,103.54,10.57,17.78,15.23,10.89
6245,2013-01-03,1999.75,5056.06,14.06,96.26,1123.15,106.77,10.24,54.84,103.7,10.61,17.78,15.35,11.05
6246,2013-01-04,2013.78,5093.31,14.14,96.26,1123.15,107.25,10.22,55.26,103.85,10.67,17.78,15.31,11.05
6247,2013-01-05,2013.78,5093.31,14.14,96.26,1123.15,107.25,10.22,55.26,103.85,10.67,17.78,15.31,11.05
6248,2013-01-06,2013.78,5093.31,14.14,96.26,1123.15,107.25,10.22,55.26,103.85,10.67,17.78,15.31,11.05
6249,2013-01-07,2013.28,5098.63,14.1,96.26,1123.15,106.91,10.2,55.2,103.61,10.78,17.78,15.35,10.98
6250,2013-01-08,2005.94,5096.56,14.12,96.26,1123.15,106.93,10.19,55.02,103.46,10.74,17.78,15.17,10.94
6251,2013-01-09,2004.31,5084.72,14.14,96.26,1123.15,107.42,10.25,55.44,103.99,10.82,17.78,15.18,11.0
6252,2013-01-10,2007.96,5110.51,14.18,96.26,1123.15,107.5,10.29,55.58,104.29,10.8,17.78,15.32,10.92
6253,2013-01-11,2021.54,5128.52,14.22,96.26,1123.15,106.67,10.29,55.56,104.37,10.79,17.78,15.22,10.77
6254,2013-01-12,2021.54,5128.52,14.22,96.26,1123.15,106.67,10.29,55.56,104.37,10.79,17.78,15.22,10.77
6255,2013-01-13,2021.54,5128.52,14.22,96.26,1123.15,106.67,10.29,55.56,104.37,10.79,17.78,15.22,10.77
6256,2013-01-14,2021.47,5127.6,14.23,96.26,1123.15,106.55,10.28,55.55,104.3,10.93,17.78,15.34,10.82
6257,2013-01-15,2030.25,5159.15,14.24,96.26,1123.15,106.46,10.22,55.62,104.23,10.98,17.78,15.34,10.79
6258,2013-01-16,2031.0,5175.95,14.29,96.26,1123.15,106.72,10.23,55.67,104.46,10.98,17.78,15.25,10.79
6259,2013-01-17,2044.73,5203.06,14.43,96.26,1123.15,107.02,10.28,56.03,104.92,11.0,17.78,15.3,10.73
6260,2013-01-18,2054.22,5234.5,14.44,96.26,1123.15,107.31,10.28,56.13,105.17,11.13,17.78,15.36,10.89
6261,2013-01-19,2054.22,5234.5,14.44,96.26,1123.15,107.31,10.28,56.13,105.17,11.13,17.78,15.36,10.89
6262,2013-01-20,2054.22,5234.5,14.44,96.26,1123.15,107.31,10.28,56.13,105.17,11.13,17.78,15.36,10.89
6263,2013-01-21,2065.95,5249.01,14.5,96.26,1123.15,107.27,10.28,56.36,105.17,11.08,17.78,15.37,10.84
6264,2013-01-22,2052.65,5249.01,14.49,96.26,1123.15,107.2,10.26,56.35,105.47,11.09,17.78,15.4,10.89
6265,2013-01-23,2052.23,5238.4,14.54,96.26,1123.15,107.34,10.32,56.59,106.01,11.07,17.78,15.36,10.86
6266,2013-01-24,2056.61,5230.05,14.54,96.26,1123.15,107.68,10.36,57.0,106.38,11.06,17.78,15.29,10.73
6267,2013-01-25,2072.79,5300.29,14.61,96.26,1123.15,108.07,10.42,57.11,106.41,11.09,17.78,15.26,10.6
6268,2013-01-26,2072.79,5300.29,14.61,96.26,1123.15,108.07,10.42,57.11,106.41,11.09,17.78,15.26,10.6
6269,2013-01-27,2072.79,5300.29,14.61,96.26,1123.15,108.07,10.42,57.11,106.41,11.09,17.78,15.26,10.6
6270,2013-01-28,2077.44,5309.0,14.56,96.26,1123.15,108.07,10.44,57.1,106.38,11.04,17.78,15.3,10.56
6271,2013-01-29,2079.52,5300.86,14.5,96.26,1123.15,108.08,10.34,57.33,106.46,11.11,17.78,15.39,10.62
6272,2013-01-30,2086.68,5307.49,14.53,96.26,1123.15,107.75,10.38,57.46,106.93,11.17,17.78,15.46,10.6
6273,2013-01-31,2069.5,5292.29,14.56,96.26,1123.15,107.63,10.39,57.3,106.55,11.15,17.78,15.38,10.56
6274,2013-02-01,2096.05,5328.28,14.6,96.26,1123.15,107.75,10.4,57.49,106.91,11.21,17.78,15.42,10.46
