,Date,KLP AksjeNorden Indeks {NOK},C WorldWide Norden {NOK},SEB Nordenfond {SEK},Allianz Europe Equity Growth R EUR {EUR},Allianz Europe Equity Value I EUR {EUR},iShares Europe Equity Index (LU) A2 EUR {EUR},BGF US Growth A2 {USD},BGF US Basic Value D2 {USD},iShares North America Eq Idx (LU) A2 USD {USD},BGF Asian Growth Leaders D2 {USD},BGF Asian Growth Leaders D2.1 {USD},JPM Asia Pacific Equity A (acc) USD {USD},NT All Cntry Asia exJpnCst ESG EqIdx C € {EUR}
5147,2010-01-01,1695.14,4341.09,14.37,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5148,2010-01-02,1695.14,4341.09,14.37,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5149,2010-01-03,1695.14,4341.09,14.37,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5150,2010-01-04,1727.57,4386.22,14.49,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5151,2010-01-05,1720.98,4390.87,14.62,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5152,2010-01-06,1718.1,4405.36,14.62,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5153,2010-01-07,1723.52,4407.03,14.71,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5154,2010-01-08,1729.07,4424.21,14.8,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5155,2010-01-09,1729.07,4424.21,14.8,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5156,2010-01-10,1729.07,4424.21,14.8,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5157,2010-01-11,1738.91,4469.8,15.0,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5158,2010-01-12,1715.96,4413.72,14.74,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5159,2010-01-13,1725.77,4425.37,14.8,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5160,2010-01-14,1736.17,4454.19,14.96,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5161,2010-01-15,1728.11,4433.77,14.88,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5162,2010-01-16,1728.11,4433.77,14.88,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5163,2010-01-17,1728.11,4433.77,14.88,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5164,2010-01-18,1735.68,4436.76,14.85,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5165,2010-01-19,1735.78,4429.93,14.82,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5166,2010-01-20,1708.65,4406.3,14.82,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5167,2010-01-21,1700.82,4367.6,14.71,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5168,2010-01-22,1689.39,4277.04,14.43,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5169,2010-01-23,1689.39,4277.04,14.43,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5170,2010-01-24,1689.39,4277.04,14.43,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5171,2010-01-25,1689.34,4326.46,14.51,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5172,2010-01-26,1684.18,4293.43,14.39,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5173,2010-01-27,1681.68,4312.04,14.46,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5174,2010-01-28,1688.26,4362.01,14.66,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5175,2010-01-29,1710.64,4364.34,14.65,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5176,2010-01-30,1710.64,4364.34,14.65,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5177,2010-01-31,1710.64,4364.34,14.65,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5178,2010-02-01,1730.01,4420.03,14.71,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5179,2010-02-02,1738.51,4420.36,14.83,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5180,2010-02-03,1737.61,4457.16,14.88,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5181,2010-02-04,1701.78,4385.58,14.75,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5182,2010-02-05,1674.23,4290.82,14.47,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5183,2010-02-06,1674.23,4290.82,14.47,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5184,2010-02-07,1674.23,4290.82,14.47,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5185,2010-02-08,1666.11,4246.73,14.23,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5186,2010-02-09,1677.01,4308.63,14.38,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5187,2010-02-10,1668.12,4284.15,14.2,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5188,2010-02-11,1683.34,4274.52,14.09,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5189,2010-02-12,1665.44,4261.85,13.95,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5190,2010-02-13,1665.44,4261.85,13.95,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5191,2010-02-14,1665.44,4261.85,13.95,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5192,2010-02-15,1659.87,4265.74,13.96,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5193,2010-02-16,1677.81,4282.39,14.04,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5194,2010-02-17,1694.15,4343.99,14.24,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5195,2010-02-18,1715.43,4402.6,14.25,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5196,2010-02-19,1726.65,4414.26,14.38,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5197,2010-02-20,1726.65,4414.26,14.38,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5198,2010-02-21,1726.65,4414.26,14.38,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5199,2010-02-22,1723.38,4419.17,14.5,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5200,2010-02-23,1704.72,4387.68,14.37,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
5201,2010-02-24,1712.12,4368.45,14.23,96.26,1123.15,151.12,20.99,90.85,189.71,17.75,17.78,19.88,16.22
